"review_id","review_text","sentiment"
"REV_001","The product quality is outstanding! Fast delivery and great customer support. Highly recommended!","Positive"
"REV_002","Terrible service. The package arrived damaged and customer service refused to refund. Very disappointed!","Negative"
"REV_003","The app works okay, but the user interface could use some improvements. Average experience.","Neutral"
"REV_004","Absolutely love this store! Amazing discounts, prompt shipping, and top-tier item quality!","Positive"
"REV_005","Extremely slow shipping. Took over three weeks to arrive and nobody answered my emails. Bad support!","Negative"
"REV_006","Product matches the description. Delivery was standard. Nothing extraordinary to report.","Neutral"
"REV_007","Exceptional customer service! The representative resolved my account issue within minutes. Great team!","Positive"
"REV_008","Poor quality material. Broke on the first day of usage. Waste of money!","Negative"
"REV_009","The order process was straightforward. Delivery was on time. Satisfactory transaction.","Neutral"
"REV_010","Fantastic purchase! Best value for money and premium packaging. Will order again!","Positive"
"REV_011","Horrible experience! Received wrong item and returns process is super frustrating. Avoid this seller!","Negative"
"REV_012","It does what it promises. Not terrible, but definitely not high-end quality either.","Neutral"
"REV_013","Super fast delivery and flawless product! Five stars all the way!","Positive"
"REV_014","Defective product delivered. Customer support line is constantly busy. Totally unacceptable!","Negative"
"REV_015","Item arrived in good condition. Standard packaging and normal shipping timeframe.","Neutral"
"REV_016","Highly impressed with the build quality and attention to detail. Excellent purchase!","Positive"
"REV_017","Charged twice for a single order! Support is completely unhelpful and rude. Fraudulent service!","Negative"
"REV_018","Fair pricing and average delivery speed. The app is somewhat responsive.","Neutral"
"REV_019","Great discount offers and seamless payment process. Really enjoyed shopping here!","Positive"
"REV_020","The item broke within an hour. Cheap plastic and terrible quality control!","Negative"
"REV_021","Average product. Works as expected but nothing special.","Neutral"
"REV_022","Best customer service I have ever experienced! Helpful, polite, and efficient staff.","Positive"
"REV_023","Delayed shipment without any tracking update. Very poor communication from support.","Negative"
"REV_024","The delivery arrived as estimated. Product condition was acceptable.","Neutral"
"REV_025","Outstanding customer care and high quality goods. Will definitely recommend to friends!","Positive"
"REV_026","The item arrived missing key accessories. Refund process is a total nightmare!","Negative"
"REV_027","Decent quality for the price point. Packaging was standard.","Neutral"
"REV_028","Remarkable speed and quality! Exceeded my expectations in every way.","Positive"
"REV_029","The app constantly crashes during checkout. Worst online ordering system ever!","Negative"
"REV_030","Received order today. Everything looks fine. No major complaints.","Neutral"
